Entity,Field,Prisma Type,DTO Type,Shared-Types (Frontend) Type,Mismatch Type,Severity,Details,Fix Required
User,name,String!,string,string,None,✓,All match,No
User,email,String? (unique),string?,string,NULLABILITY,Medium,Prisma allows NULL but shared-types marks as required in most contexts,Update shared-types User interface to email?: string
User,kakaoId,String! (unique),kakaoId!,kakaoId,None,✓,All match,No
User,role,Role enum (USER|ADMIN),UserRole enum (BUYER|SELLER|ADMIN),Role enum (USER|ADMIN),ENUM_VALUES,HIGH,DTO has BUYER|SELLER but Prisma/shared-types only have USER|ADMIN - DTO is out of sync,Remove BUYER/SELLER from UserRole enum in user.dto.ts
User,status,UserStatus enum (ACTIVE|INACTIVE|SUSPENDED),string (enum validation),UserStatus enum (ACTIVE|INACTIVE|SUSPENDED),TYPE,Medium,DTO uses generic string instead of proper enum type,Add UserStatus enum import to user.dto.ts
User,phone,String?,string?,string,None,✓,All allow null,No
User,instagramId,String? (unique),string?,string?,None,✓,All allow null,No
User,shippingAddress,Json?,{fullName; address1; address2?; city; state; zip; phone}?,ShippingAddress?,TYPE,Medium,Prisma stores as JSON but DTOs/shared-types have strict interface,Add proper JSON schema validation or use strict interface serialization
User,depositorName,String?,string?,string?,None,✓,All allow null,No
User,profileCompletedAt,DateTime?,Date,string,TYPE,Medium,Prisma uses DateTime but DTO returns Date object while shared-types expects ISO string,Standardize on ISO 8601 string format across all layers
User,suspendedAt,DateTime?,Date,string,TYPE,Medium,Prisma uses DateTime but DTO returns Date object while shared-types expects ISO string,Standardize on ISO 8601 string format across all layers
User,suspensionReason,String?,string?,undefined,MISMATCH,Low,Prisma has field but shared-types User interface doesn't include it,Add suspensionReason field to shared-types User interface
User,lastLoginAt,DateTime?,Date,string?,TYPE,Medium,Prisma uses DateTime but DTO returns Date object while shared-types expects ISO string,Standardize on ISO 8601 string format across all layers
User,createdAt,DateTime! (default now),Date,string,TYPE,HIGH,Prisma DateTime vs DTO/frontend Date vs shared-types string,Enforce ISO 8601 string serialization in all responses
User,updatedAt,DateTime! (updatedAt),Date,string,TYPE,HIGH,Prisma DateTime vs DTO/frontend Date vs shared-types string,Enforce ISO 8601 string serialization in all responses
Product,quantity,Int,stock: number,stock: number,FIELD_NAME,Medium,Prisma column is 'quantity' but DTOs/frontend use 'stock' field name,Consistent field naming - use 'stock' everywhere or update Prisma
Product,price,Decimal(10,2),number,number,TYPE,LOW,Decimal in Prisma but handled as number in DTO (potential precision loss),Use Decimal library for price fields or document number usage
Product,shippingFee,Decimal(10,2) default 0,number (deprecated),number,TYPE,Low,Marked deprecated in DTO but still in Prisma schema,Remove from DTOs or update Prisma schema
Product,images,String[] (default []),string[],string[],None,✓,All match,No
Product,colorOptions,String[],string[],string[],None,✓,All match,No
Product,sizeOptions,String[],string[],string[],None,✓,All match,No
Product,status,ProductStatus (AVAILABLE|SOLD_OUT),ProductStatus enum,ProductStatus enum,None,✓,All match,No
Product,timerDuration,Int default 10,number,number,None,✓,All match,No
Product,timerEnabled,Boolean default false,boolean,boolean,None,✓,All match,No
Product,isNew,Boolean default false,boolean,boolean,None,✓,All match,No
Product,discountRate,Decimal(5,2)?,number?,number?,None,✓,All match,No
Product,originalPrice,Decimal(10,2)?,number?,number?,None,✓,All match,No
Product,imageUrl,String?,string?,string?,None,✓,All match,No
Product,freeShippingMessage,String?,string?,string?,None,✓,All match,No
Product,streamKey,String? (FK),string?,string,NULLABILITY,Medium,Prisma allows NULL (products not tied to stream) but shared-types marks as required,Update shared-types Product interface: streamKey?: string
Product,createdAt,DateTime! (default now),Date,string,TYPE,HIGH,Inconsistent date serialization,Enforce ISO 8601 string format
Product,updatedAt,DateTime! (updatedAt),Date,string,TYPE,HIGH,Inconsistent date serialization,Enforce ISO 8601 string format
Cart,price,Decimal(10,2),number,string (Decimal safe),TYPE,HIGH,Prisma stores as Decimal but DTO returns number while shared-types expects string for Decimal safety,Return prices as string in CartItemResponseDto and update DTO
Cart,shippingFee,Decimal(10,2),number,string (Decimal safe),TYPE,HIGH,Prisma stores as Decimal but DTO returns number while shared-types expects string for Decimal safety,Return shippingFee as string in CartItemResponseDto
Cart,quantity,Int,number,number,None,✓,All match,No
Cart,timerEnabled,Boolean,boolean,boolean,None,✓,All match,No
Cart,expiresAt,DateTime?,string?,string?,None,✓,All allow null and string ISO format,No
Cart,status,CartStatus (ACTIVE|EXPIRED|COMPLETED),CartStatus enum,CartStatus enum,None,✓,All match,No
Cart,color,String?,string?,string?,None,✓,All allow null,No
Cart,size,String?,string?,string?,None,✓,All allow null,No
Cart,createdAt,DateTime! (default now),string,string,SERIALIZATION,Low,DTO correctly returns string but Prisma DateTime should be serialized,Verify response serialization in service layer
Cart,updatedAt,DateTime! (updatedAt),string,string,SERIALIZATION,Low,DTO correctly returns string but Prisma DateTime should be serialized,Verify response serialization in service layer
Order,id,String! (custom ORD-YYYYMMDD-XXXXX),string,string,None,✓,All match format,No
Order,subtotal,Decimal(10,2),number,string (Decimal safe),TYPE,HIGH,Prisma Decimal vs DTO number vs shared-types string - inconsistent for financial data,Return subtotal as string in OrderResponseDto
